,titolo,durata,views,n_comments,n_like,genere,subscribers,publ,max_quality,timedelta,score,class
70,Bon Jovi - You Give Love a Bad Name (live - en vivo),223,1049,0,1, Music,101,2010-10-04,5,0.2919479664086942,0.1363570922134586,1
71,Ground Zero GZNW 12 + Orion HCCA-D5000,179,43225,14,24, Autos & Vehicles,0,2008-06-19,3,0.1541248147538284,0.1307532706485637,1
72,真三國無雙6-戰史破關動畫2,163,1490,0,1, Gaming,220,2011-05-11,4,0.328009221142763,0.160228947976178,1
73,Mi Pece-Estanque de 390L,434,24172,3,25, Pets & Animals,17,2008-08-19,4,0.1641692738350074,0.1338411268760471,1
74,грей-мен,205,13168,10,60, Film & Animation,57,2009-02-07,3,0.1924913551786596,0.1598152260794512,1
75,Protesto Juve Leo e DUXXI Sporting x Penafiel ( Bwin Cup  Época 10/11),272,1902,0,4, People & Blogs,1240,2011-01-26,3,0.3107195784620451,0.1738005651703883,1
76,Machine head Davidian live Nulle part ailleurs french tv show,383,201449,293,2345, Music,1220,2013-03-22,4,0.4401449036719908,0.5368313425940696,3
77,Goku and Bulma At the Beginning,216,11223,14,45, Music,2400,2012-08-18,4,0.4045776387287996,0.3249780679693055,2
78,Gears of War 2 Blindfire Mortar Montage BFMM™,243,1277,8,14, Gaming,656,2010-09-17,6,0.2891486909270542,0.1740983234391034,1
79,Percussion Jamming - Timbalero from 1952,353,1131,2,3, Music,147,2008-05-24,4,0.1498435698995554,0.0770168342640158,1
80,Downhill Lonzenburg Der Film,132,2217,0,8, Sports,12,2007-12-22,0,0.1244854273011691,0.0752637542403064,1
81,Permata - Alyah feat Ben at Bintang Mencari Bintang [LIVE TV3],135,47899,15,123, Music,1230,2013-05-27,3,0.4510126790712992,0.4295521277196771,3
82,SABBIADORO...ESPLODI !!!!!,183,1845,0,4, Music,0,2013-09-14,6,0.4691256380701465,0.2615331568051111,2
83,chess game #1  Rodzinski-Aljechin  Paris 1913,129,1201,1,2, Howto & Style,1060,2009-01-17,3,0.189033426642516,0.0945321547509844,1
84,ドラクエ9　ラプソーンLv100　最短3ターン討伐,350,30525,5,5, Gaming,96,2010-04-04,4,0.2618145891651572,0.1937355677183445,1
85,Steven Farmer: Zumiez Best Foot Forward Personality,134,1479,1,10, Sports,56800,2012-07-15,5,0.3989790877655195,0.2362493752236368,2
86,大嘴巴-國王皇后,201,29614,6,169, Music,45000,2012-09-13,6,0.4088588835830726,0.3852764303643384,2
87,Nico Ballerina - Red Kalimaya,195,45872,66,241, Music,0,2007-11-06,4,0.1169109171743783,0.1158127898675741,1
88,PATY BOLOS RIO CLARO,153,8744,0,15, People & Blogs,0,2013-05-07,4,0.4477194137987815,0.3239361761620167,2
89,GINASTICA RITMICA - ENSAIO -OLIMPIA SAO PAULO,273,2350,0,9, Sports,0,2010-06-01,4,0.2713650584554586,0.1667783045603764,1
90,Brandweer wedstrijden Roermond 8-05-2010,276,1192,0,2, News & Politics,0,2010-05-08,4,0.2674131401284373,0.1336055861487976,1
91,The Tricket Team,169,6280,1,41, Travel & Events,48,2012-07-19,6,0.399637740820023,0.3046216174688649,2
92,Jak zrobić strone internetową w programie Kompozer,499,12801,3,44, People & Blogs,0,2013-03-05,5,0.4373456281903507,0.3542254523023453,2
93,Pond Saga IV,282,1952,1,1, Howto & Style,0,2008-07-05,3,0.1567594269718425,0.0791605500717817,1
94,OVERDRIVE AUTO SHOW ŻNIN 2008 vid.4,338,2830,0,4, Autos & Vehicles,0,2008-09-01,3,0.1663098962621439,0.0970607007016539,1
95,SasBand - Asmara - 2004,213,2514,0,14, Music,173,2012-02-27,4,0.3760908941215214,0.2420027156178055,2
96,26. Weser-Tidenrallye  Nordenham - Bremen,352,2791,0,3, Sports,372,2012-05-23,4,0.3902519347933476,0.2221080593480343,2
97,PS4 Faceplate Unboxing  Setup & Review: The Order 1886,219,6070,27,132, Science & Technology,424000,2014-12-15,6,0.5443767495471761,0.4521344338356971,3
98,Master Princess,127,3594,2,9, Film & Animation,11,2008-07-14,3,0.1582413963444755,0.1013588512123334,1
99,Molerski radovi - www.molerskigipsaniradovi.rs.MPG,276,49312,2,11, People & Blogs,27,2011-03-25,3,0.3202700477523464,0.2599266431769353,2
100,Gag Concert 걸인의추억 20030608,213,2438,1,3, Entertainment,4849999872,2012-04-29,3,0.3863000164663264,0.2166691315812215,2
101,(พากษ์ไทย) เกรียนเส้น เดอะ มูฟวี่ Ch.8/12,339,482715,114,2791, Gaming,58100,2015-03-01,5,0.5568911575827433,0.7148590944690492,4
102,Kogama - Quem atropelou o Pudim?,443,107671,203,2411, Gaming,3929999872,2015-02-01,5,0.5522805862012186,0.6534087335303738,4
103,Construct 90 degree angle - Corbettmaths,172,66864,0,302, Education,142000,2013-04-05,3,0.4424501893627531,0.4545481309701391,3
104,emily sandé   next to me   alvind and chipmunks version,213,5350,1,29, People & Blogs,0,2012-04-28,4,0.3861353532027005,0.2826168251137203,2
105,2/6 Kaiser rolls hand marking. Professional bread. Joaquín Llarás (True Bread),201,11126,10,111, Science & Technology,12300,2014-10-21,5,0.5353202700477524,0.4588018600298439,3
106,Como instalar una custom room en galaxy Ace,459,10047,30,48, People & Blogs,20000,2012-09-05,4,0.4075415774740655,0.3261764717101867,2
107,Trombetta d'aria a Roccelletta di Borgia,187,3176,1,4, People & Blogs,13,2012-09-02,5,0.4070475876831879,0.2404254792623331,2
108,Paleo Diet ►Paleo Recipes & Diet Plan !,351,45207,36,310, People & Blogs,541,2014-01-04,6,0.4875679235962457,0.4900221237584993,3
109,Gặp mẹ trong mơ guitar (Mai Ngân + Thanh Tuấn) -  Lớp nhạc Giáng Sol,202,3403,0,7, Music,5300,2013-07-11,4,0.458422525934464,0.285859708522213,2
110,NAIAS 2010 Launch new Lincoln MKX.MOV,186,1197,2,7, Autos & Vehicles,130,2010-01-12,4,0.2483122015478346,0.1389979530347555,1
111,Kerbal Rock Crawler,211,1765,11,21, Gaming,427,2012-09-29,5,0.4114934958010868,0.2655186022339162,2
112,Chinese qigong and taichi,163,5234,1,9, Sports,109,2008-09-09,3,0.167627202371151,0.1112185554747914,1
113,Criação de codornas Em Casa(Parte 2 ),300,52078,34,660, People & Blogs,5070,2014-10-30,6,0.5368022394203853,0.5688563387962653,3
114,JÍZDA NA JAWĚ 21,156,9356,4,13, Autos & Vehicles,163,2010-04-30,4,0.2660958340194302,0.1914564908135247,1
115,muletto tuning,144,12302,4,22, Autos & Vehicles,0,2009-10-26,4,0.2354684669850156,0.1804941240937963,1
116,Bosch TDI903231A - żelazko z generatorem pary,147,93882,0,93, Science & Technology,3980,2015-06-11,6,0.5736868104725835,0.5602599815211357,3
117,Mugen 2010 - The Heaven Iori Yagami VS God Kyo,126,2945,1,9, Gaming,0,2010-07-27,4,0.2805862012185081,0.1763124711420393,1
118,NUNTA DIN BERLIN   SAMY & REBECA PT 5,275,2019,0,3, Music,5290,2014-05-31,4,0.5117734233492508,0.28115191138317,2
119,WWE Doink Dink Debut,281,823812,305,2307, Entertainment,1300,2009-06-13,3,0.2132389263955211,0.2782074354281877,2
120,Love Me Like You Do ★ PIANO LESSON ★ Ellie Goulding,310,21614,17,207, Music,146000,2015-01-09,6,0.5484933311378232,0.5130666659239178,3
121,RT Shorts - A Self-Driving Car from Bing,173,908320,844,22874, Film & Animation,9219999744,2015-05-24,8,0.5707228717273176,0.8279460574445059,4
122,Schoolhouse Rock - Fireworks,184,595120,272,3165, Education,6390,2012-07-04,3,0.3971677918656348,0.5179542798129032,3
123,Flatruet - Schwedens höchst gelegene Straße,215,2373,0,3, Travel & Events,0,2010-04-05,4,0.2619792524287831,0.1465074237442562,1
124,Heroes of the Storm como um eSport,202,1469,4,90, Gaming,20100,2014-11-11,6,0.538778198583896,0.3883220471016128,2
125,RPM TV - Episode 252 - Peugeot RCZ 1 6 THP Manual,334,9892,2,44, Autos & Vehicles,26400,2013-12-10,6,0.4834513420055985,0.3839580016373531,2
126,Synthesia - Akagi party - FFX-2 Piano collections,227,2054,2,13, Music,4410,2012-03-13,5,0.3785608430759097,0.2373257134369727,2
127,Shake It Out (Florence and the Machine) - JHU Sirens - Final Concert 2013,269,2094,5,34, Music,6660,2013-06-09,6,0.4531533014984357,0.3099774237663086,2
128,Festival de Dança 2008,185,1323,0,0, Music,14900,2008-12-20,3,0.1844228552609912,0.0809439671989477,1
129,19º Fenajeep - Indoor 2012,439,8229,2,37, Autos & Vehicles,21,2012-06-16,6,0.3942038531203688,0.3045769036966904,2
130,수제가루쿡 [햄버거고기],193,3448,0,19, People & Blogs,1240,2013-11-30,6,0.4818047093693397,0.3277846367918032,2
131,Howw to get iOS 7 Control Center for IOS 6 (LOCKBAR PRO) Cydia Tweak 2013 on August,173,6392,4,19, Entertainment,25500,2013-08-28,4,0.4663263625885065,0.3348309274353731,2
132,Thunder Thursday Pine Ave  Miss Toyota Grand Prix of Long Beach 2014,250,1236,0,8, Sports,23300,2014-04-11,5,0.5035402601679565,0.2864746319323376,2
133,NaruIno Chat Four,354,29169,23,227, Entertainment,1990,2010-01-23,4,0.2501234974477194,0.2399489213521856,2
134,Festival of Colors 2012,124,1190,0,11, Travel & Events,37,2013-03-28,5,0.4411328832537461,0.257697455421737,2
135,Jackie's 110 gallon reef tank 1-30-2012,457,3160,5,7, Pets & Animals,10,2012-01-30,3,0.3714803227399967,0.2299643892790525,2
136,Angels and Demons - In Theaters 5.15.09,124,367330,27,383, Film & Animation,6390000128,2009-01-29,5,0.1910093858060266,0.21886572881438,2
137,como fazer rua moderna no minecraft,406,2366,1,42, People & Blogs,42,2014-11-30,5,0.5419068005927877,0.3815418498160918,2
138,久石讓：霍爾的移動城堡(JYSB),490,3828,0,10, Music,51,2011-04-11,4,0.3230693232339865,0.210061213696247,2
139,Desperado (cover),193,15148,13,44, Music,35,2010-04-25,4,0.2652725177013008,0.2175828139274249,2
140,canciones de yugioh,182,58396,14,123, Film & Animation,43,2008-05-20,3,0.1491849168450518,0.1438913716657079,1
141,SasuSaku I wanna stay with you Part 7,346,5076,11,21, People & Blogs,249,2011-06-30,5,0.3362423843240573,0.2386520061763635,2
142,Myanmar New Love Song 2012,245,42146,2,67, Music,578,2011-11-21,5,0.3599538942861847,0.3268086809147181,2
143,Morrissey - First Of The Gang To Die ( Live Letterman),235,398094,0,1007, Music,34,2006-09-13,3,0.0479170097151325,0.0579642515540221,1
144,Johnyboy-Метамфетамир.Концерт в Риге 25.05.2013,289,1477,2,13, Music,31,2013-05-26,5,0.4508480158076733,0.2735648038105996,2
145,Octave tongue blocking p-2 - November 22  2009  06:54 AM,481,4001,1,16, Education,13600,2009-11-22,3,0.2399143751029145,0.1630184538138563,1
146,como hacer gelatinas 1- hacer flores,250,72604,45,1045, People & Blogs,128000,2014-06-17,5,0.5145726988308909,0.5701618633133017,3
147,Counter-Strike:Global Offensive Gameplay (GTX550 SLI Gameplay) [Full-HD],347,1898,2,8, Gaming,20,2012-04-20,6,0.3848180470936934,0.229010001729946,2
148,UFC Fighters and Professional Bull Riders,168,42802,72,257, Sports,1380000000,2012-10-25,6,0.4157747406553598,0.4117361832650386,3
149,How to replace radiator for 1995 Toyota Corolla,439,29011,27,197, Autos & Vehicles,52,2014-05-21,4,0.5101267907129919,0.4848119326636637,3
150,How to pair your device with Bluetooth - Range Rover Sport (2013),144,40545,1,118, Autos & Vehicles,109000,2013-12-03,4,0.4822986991602173,0.4532283834667363,3
151,سلسلة وحده بوحده #26: clash of clans,245,21650,94,1365, Gaming,148000,2014-03-29,5,0.50139963774082,0.5266905403884281,3
152,HOW TO | CREAM BLUSH APPLICATION USING MAC CREMEBLEND OPTIMISTIC ORANGE,274,13078,69,407, Howto & Style,180000,2012-02-29,3,0.3764202206487733,0.3560454664236009,2
153,オスペンギンの食チャレinがむしゃ＠つくば／デカ盛ラーメン前編,429,2553,0,2, Comedy,1760,2013-03-13,3,0.4386629342993578,0.2395672676265677,2
154,160 - Cody Vigoren (LS) vs. Shawn Berg (Arlington) (1-12-12),371,6785,0,3, Sports,158,2012-01-13,6,0.3686810472583566,0.2298298133256934,2
155,U2 @ Invesco Field Denver 05-21-2011,266,2426,0,7, Music,0,2011-05-22,5,0.3298205170426478,0.1988513655865381,1
156,Chardy Reflects On Garin Win In Vina del Mar,149,2895,4,11, Sports,379000,2013-02-06,3,0.4328997200724518,0.27638890765682,2
157,Medio Maratón Valencia 2013 - Resumen,158,3409,1,21, Sports,82200,2013-10-22,4,0.4753828420879302,0.3258521778430998,2
158,Crepusculo trailer,257,1853,0,9, Comedy,68,2011-11-13,3,0.3586365881771777,0.2152109711378147,2
159,Обзор на Clawdeen Wolf Sweet 1600 Monster High (Клодин Вульф Милые 1600 лет Школа Монстров) W9191,164,117821,101,848, People & Blogs,97000,2013-07-01,5,0.4567758932982051,0.5138049932179236,3
160,Fit Of The Day #139 - Cotton On Pullover + Forever 21 Jacket + H&M Sweatpants / Casual  Simple,151,1669,9,25, Howto & Style,6670,2013-12-14,6,0.4841099950601021,0.3156599374746393,2
161,Mabinogi G2: Math Training (Part 2),390,2006,18,4, Entertainment,451,2008-11-06,4,0.1771776716614523,0.0996800586379287,1
162,蜂蜜料理食譜//蜂蜜蛋黃餅乾//蜂大廚教你用龍眼蜂蜜來下廚,181,26169,5,135, Howto & Style,628,2015-01-07,5,0.5481640046105714,0.5049377104333543,3
163,My Knives and Lighters Collection pt.2,145,1516,0,168, People & Blogs,398,2011-10-13,5,0.3535320270047752,0.2688503304614803,2
164,زواج صالح صبيح السالمي بالقريات,222,14460,5,60, Music,64,2012-10-31,3,0.4167627202371151,0.3483976283370593,2
165,Wall talks about win over Wake Forest,285,4665,14,11, Sports,403,2010-03-20,5,0.259344640210769,0.173136675964394,1
166,【沖縄キャンプ】2015.01.31　コンサドーレ札幌（Consadole Sapporo）⑧,438,1316,2,1, People & Blogs,254,2015-02-02,6,0.5524452494648444,0.2656744136285666,2
167,Hajgöndörítés hő nélkül,174,65275,26,575, Howto & Style,68900,2015-03-27,6,0.5611724024370163,0.5977047831841316,3
168,Viking Life  - Fleek Prod  Metro Boomin In Studio,279,2551,3,41, Comedy,246,2015-04-22,5,0.5654536472912893,0.3999075456162371,2
169,klubbedout 2010 cd 1 track 15,214,1952,0,3, Music,43,2010-06-06,3,0.272188374773588,0.1489706504300901,1
170,BlackWarGreymon and Beelzemon - Headstrong,287,14732,12,87, Music,140,2010-04-20,3,0.2644492013831714,0.2272880351248649,2
171,Cleaning the Bonnechere Speed Oval,206,1265,0,3, Autos & Vehicles,1510,2010-02-24,4,0.2553927218837477,0.133013346992202,1
172,ปลุกเสกขอช้าง,145,26463,6,92, People & Blogs,73,2012-05-09,5,0.3879466491025852,0.348615902296702,2
173,Arturo Vidal | Goals  Skills  Assists  Passes  Tackles | Juventus | 2014/2015 (HD),295,126811,48,828, Sports,23900,2015-03-01,5,0.5568911575827433,0.6281096093287291,4
174,"LaCoste Band ""Call The Police"" Zydeco Dance",339,2935,1,12, Music,0,2013-11-20,5,0.4801580767330808,0.3093106591402106,2
175,Pepperdine Tennis Special - Part 1! College TENNIS ROCKS!,351,4449,0,0, Sports,1020,2010-05-06,5,0.2670838136011855,0.1370035169657645,1
176,LAS MEJORES 20 SELECCIONES DE AMERICA,418,38501,290,51, Sports,45,2010-07-29,4,0.2809155277457599,0.2488949396194711,2
177,golf cart ideas,186,1822,4,4, Autos & Vehicles,670,2011-10-15,4,0.353861353532027,0.1970033342293164,1
178,DRZ 400 (4 km Show),120,2872,1,5, Travel & Events,0,2008-10-02,4,0.1714144574345463,0.1021023866256498,1
179,DİRMİLCİKTEN GİDER YAYLANIN YOLU (ALİ AKKAN)Kepez Bld THM Topluluğu Yurttan Sesler III Konseri,190,2135,0,11, Nonprofits & Activism,3680,2013-12-27,4,0.4862506174872386,0.3014094642263377,2
180,Záchrana osob na zamrzlé hladině bez neoprenu,182,1747,0,6, Education,156,2009-06-07,3,0.2122509468137658,0.1219814787598366,1
181,[MLP:FiM] Derp of Evil: The Story,275,3291,4,26, Film & Animation,718,2013-07-25,3,0.4607278116252264,0.3205773997554744,2
182,Kingdom Hearts 3D - Anti Black Coat Nightmare Boss,406,109872,23,352, Entertainment,23900,2012-11-23,3,0.4205499753005104,0.44872563994913,3
183,Attaching the Motorcycle Travel Rack,159,3417,0,0, Autos & Vehicles,0,2008-03-10,3,0.137493825127614,0.0683131305342625,1
184,This is the life - Amy McDonald performed by Ana Kicin and TUR orchestra (former FA Turopolje),167,15129,2,30, Music,374,2009-07-20,4,0.2193314671496789,0.1748927617017239,1
185,We Are One - Greg Ginn and the Royal We (official video),491,2791,2,16, Music,128,2012-05-11,5,0.3882759756298369,0.2552892278650957,2
186,II Rally Race Comunidad de Madrid 2011 Morcuera 1 manga,290,1902,0,3, Autos & Vehicles,55,2011-11-27,5,0.3609418738679401,0.1969741611874182,1
187,Spotting at St. Maarten Airport - Maho Beach,202,1779,10,34, Entertainment,1430,2012-01-08,5,0.3678577309402272,0.2479694047977133,2
188,فابريجاس في برشلونة,436,1479,0,3, People & Blogs,123,2011-08-17,4,0.3441462209780997,0.1825223329255063,1
189,Nieky 'The Natural' Holzken wereldkampioen Kickboksen?,209,25471,3,28, News & Politics,2370,2011-02-22,4,0.315165486579944,0.2600516991328926,2
190,5 Formas de Usar Saia Média,187,12637,35,315, People & Blogs,11700,2014-09-23,6,0.5307096986662275,0.4925911642609865,3
